          <tr id="LC416" class="js-file-line">
            <td id="L416" class="blob-num js-line-number" data-line-number="416"></td>
              <td>414</td>
              <td>2018-En-02286</td>
              <td>@coutbaek i did, i cried from laughter way too much HAHAHAHAHHAHAHAHAAHGAHAHA 😅😅</td>
              <td>joy</td>
              <td>0.813</td>
              <td>0</td>
          </tr>
          <tr id="LC417" class="js-file-line">
            <td id="L417" class="blob-num js-line-number" data-line-number="417"></td>
              <td>415</td>
              <td>2018-En-01775</td>
              <td>Do #you #said, people never cross the 10! #serious</td>
              <td>sadness</td>
              <td>0.22</td>
              <td>0</td>
          </tr>
          <tr id="LC418" class="js-file-line">
            <td id="L418" class="blob-num js-line-number" data-line-number="418"></td>
              <td>416</td>
              <td>2018-En-00731</td>
              <td>@YourHorrorHost &amp;amp; @pdeblassieiii THANK YOU for the retweets. Much #appreciated!!! #horror #monsters #MonsterBrawl @Sirens_Call</td>
              <td>fear</td>
              <td>0.35200000000000004</td>
              <td>0</td>
          </tr>
          <tr id="LC419" class="js-file-line">
            <td id="L419" class="blob-num js-line-number" data-line-number="419"></td>
              <td>417</td>
              <td>2018-En-02093</td>
              <td>@PaulCalafiore_ Absolutely ! Happy blessed Tuesday ❤️</td>
              <td>joy</td>
              <td>0.75</td>
              <td>0</td>
          </tr>
          <tr id="LC420" class="js-file-line">
            <td id="L420" class="blob-num js-line-number" data-line-number="420"></td>
              <td>418</td>
              <td>2018-En-00433</td>
              <td>had noodles for tea\nyummmmmmy\n#yum #yummy #ddlg #abdl #chgl #noodles</td>
              <td>joy</td>
              <td>0.6559999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC421" class="js-file-line">
            <td id="L421" class="blob-num js-line-number" data-line-number="421"></td>
              <td>419</td>
              <td>2018-En-04321</td>
              <td>@PrisonPlanet @DonaldJTrumpJr I read they pissed in Trump&#39;s bed 😀</td>
              <td>anger</td>
              <td>0.28800000000000003</td>
              <td>0</td>
          </tr>
          <tr id="LC422" class="js-file-line">
            <td id="L422" class="blob-num js-line-number" data-line-number="422"></td>
              <td>420</td>
              <td>2018-En-03447</td>
              <td>YOU MIGHT BE TRYING TO FILL THE VOID IN YOUR #HEART WITH ALL SORTS OF THINGS BUT THAT PLACE BELONGS TO JESUS CHRIST #music #worry #love #SMM</td>
              <td>fear</td>
              <td>0.259</td>
              <td>0</td>
          </tr>
          <tr id="LC423" class="js-file-line">
            <td id="L423" class="blob-num js-line-number" data-line-number="423"></td>
              <td>421</td>
              <td>2018-En-00202</td>
              <td>Chanyeol always cheering, he&#39;ll claps loudly and very happy when talks about something funny</td>
              <td>joy</td>
              <td>0.6940000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC424" class="js-file-line">
            <td id="L424" class="blob-num js-line-number" data-line-number="424"></td>
              <td>422</td>
              <td>2018-En-03598</td>
              <td>Crazy magic - that moment when you have a fantastic idea for your next novel and the momentum builds! \nNothing better! \n #writing </td>
              <td>fear</td>
              <td>0.22</td>
              <td>0</td>
          </tr>
          <tr id="LC425" class="js-file-line">
            <td id="L425" class="blob-num js-line-number" data-line-number="425"></td>
              <td>423</td>
              <td>2018-En-01086</td>
              <td>AHHHHHHHHHHHH #dread OMFG! It&#39;s so good...@JoinTeamAlpha @Hydra_Lord @executivegoth @matthewmercer @enthusiamy @vorpahlsword @satinephoenix</td>
              <td>fear</td>
              <td>0.38299999999999995</td>
              <td>0</td>
          </tr>
          <tr id="LC426" class="js-file-line">
            <td id="L426" class="blob-num js-line-number" data-line-number="426"></td>
              <td>424</td>
              <td>2018-En-04153</td>
              <td>I don&#39;t know how much longer I can play stupid 😒😔 #heartbroken #stupid #sadness</td>
              <td>sadness</td>
              <td>0.9229999999999999</td>
              <td>1</td>
          </tr>
          <tr id="LC427" class="js-file-line">
            <td id="L427" class="blob-num js-line-number" data-line-number="427"></td>
              <td>425</td>
              <td>2018-En-00407</td>
              <td>madly in love with the love of @ActionBronson for food. &amp;lt;3  &amp;lt;3  &amp;lt;3  #fuckthatis</td>
              <td>joy</td>
              <td>0.563</td>
              <td>0</td>
          </tr>
          <tr id="LC428" class="js-file-line">
            <td id="L428" class="blob-num js-line-number" data-line-number="428"></td>
              <td>426</td>
              <td>2018-En-02973</td>
              <td>I want a friendship group like in Friends 😧</td>
              <td>anger</td>
              <td>0.22699999999999998</td>
              <td>0</td>
          </tr>
          <tr id="LC429" class="js-file-line">
            <td id="L429" class="blob-num js-line-number" data-line-number="429"></td>
              <td>427</td>
              <td>2018-En-01220</td>
              <td>Stranger Things S2 25secs teaser! #excited 😲</td>
              <td>joy</td>
              <td>0.625</td>
              <td>0</td>
          </tr>
          <tr id="LC430" class="js-file-line">
            <td id="L430" class="blob-num js-line-number" data-line-number="430"></td>
              <td>428</td>
              <td>2018-En-02734</td>
              <td>@Benmorris04 happy birthday big man 👀😂⚽️</td>
              <td>joy</td>
              <td>0.6609999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC431" class="js-file-line">
            <td id="L431" class="blob-num js-line-number" data-line-number="431"></td>
              <td>429</td>
              <td>2018-En-03144</td>
              <td>I&#39;m so in love with that smile of yours🖤.</td>
              <td>joy</td>
              <td>0.813</td>
              <td>0</td>
          </tr>
          <tr id="LC432" class="js-file-line">
            <td id="L432" class="blob-num js-line-number" data-line-number="432"></td>
              <td>430</td>
              <td>2018-En-02825</td>
              <td>Smile because you have the promise of tomorrow and the next day and the next day ..endless possibilities ! #focus #live #happiness</td>
              <td>joy</td>
              <td>0.758</td>
              <td>0</td>
          </tr>
          <tr id="LC433" class="js-file-line">
            <td id="L433" class="blob-num js-line-number" data-line-number="433"></td>
              <td>431</td>
              <td>2018-En-03343</td>
              <td>My soon to be ex wife needs to learn to chill out &amp;amp; smile </td>
              <td>fear</td>
              <td>0.22</td>
              <td>0</td>
          </tr>
          <tr id="LC434" class="js-file-line">
            <td id="L434" class="blob-num js-line-number" data-line-number="434"></td>
              <td>432</td>
              <td>2018-En-01753</td>
              <td>There&#39;s no one right way to live life but: be kind, be genuine, be honest, be open. #Love yourself &amp;amp; #laugh often. #Mindfulness @HealingMB</td>
              <td>joy</td>
              <td>0.6940000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC435" class="js-file-line">
            <td id="L435" class="blob-num js-line-number" data-line-number="435"></td>
              <td>433</td>
              <td>2018-En-02914</td>
              <td>@Jo_Caulfield Great GIF! #joyful</td>
              <td>joy</td>
              <td>0.7190000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC436" class="js-file-line">
            <td id="L436" class="blob-num js-line-number" data-line-number="436"></td>
              <td>434</td>
              <td>2018-En-00039</td>
              <td>@mandzvester 😂😂😂\nThats why I work on my own, to many miserable fok around 😂\nAfternoon Smiley😃x</td>
              <td>sadness</td>
              <td>0.268</td>
              <td>0</td>
          </tr>
          <tr id="LC437" class="js-file-line">
            <td id="L437" class="blob-num js-line-number" data-line-number="437"></td>
              <td>435</td>
              <td>2018-En-04203</td>
              <td>@matthewpouliot Wow-he had sooo much talent. #glad he is still playing</td>
              <td>joy</td>
              <td>0.578</td>
              <td>0</td>
          </tr>
          <tr id="LC438" class="js-file-line">
            <td id="L438" class="blob-num js-line-number" data-line-number="438"></td>
              <td>436</td>
              <td>2018-En-02005</td>
              <td>When @Jaclynhill and @JeffreeStar  snap chats get you through the day w/ their words of inspiration #blessed ❤️💕</td>
              <td>joy</td>
              <td>0.7659999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC439" class="js-file-line">
            <td id="L439" class="blob-num js-line-number" data-line-number="439"></td>
              <td>437</td>
              <td>2018-En-04179</td>
              <td>@TheOpen @RoyalBirkdale_ I&#39;ll be there with @Jimbo_7 cheering on @MattFitz94 on Friday - can&#39;t wait!</td>
              <td>joy</td>
              <td>0.594</td>
              <td>0</td>
          </tr>
          <tr id="LC440" class="js-file-line">
            <td id="L440" class="blob-num js-line-number" data-line-number="440"></td>
              <td>438</td>
              <td>2018-En-00892</td>
              <td>Another big game day for @FootballSask at the Canada Cup. Next up Ontario. Go get them boys! We&#39;ll be cheering you on #306Football #Sask</td>
              <td>joy</td>
              <td>0.703</td>
              <td>0</td>
          </tr>
          <tr id="LC441" class="js-file-line">
            <td id="L441" class="blob-num js-line-number" data-line-number="441"></td>
              <td>439</td>
              <td>2018-En-03782</td>
              <td>Best day of my life where my 19 year old bestie scared away a 22 year old thug #amazing #inspiring #mongay</td>
              <td>joy</td>
              <td>0.879</td>
              <td>0</td>
          </tr>
          <tr id="LC442" class="js-file-line">
            <td id="L442" class="blob-num js-line-number" data-line-number="442"></td>
              <td>440</td>
              <td>2018-En-03581</td>
              <td>Mayweather&#39;s trash talking is on par with Nate Diaz #terrible would love to see McGregor KO him #MayweatherVsMcGregor</td>
              <td>fear</td>
              <td>0.321</td>
              <td>0</td>
          </tr>
          <tr id="LC443" class="js-file-line">
            <td id="L443" class="blob-num js-line-number" data-line-number="443"></td>
              <td>441</td>
              <td>2018-En-03973</td>
              <td>@executivegoth I tried a free Alpha trial to watch #dread and I&#39;m sold. Worth the subscription alone. You all are incredible!</td>
              <td>anger</td>
              <td>0.266</td>
              <td>0</td>
          </tr>
          <tr id="LC444" class="js-file-line">
            <td id="L444" class="blob-num js-line-number" data-line-number="444"></td>
              <td>442</td>
              <td>2018-En-03201</td>
              <td>@DoubleEph Happy man. </td>
              <td>joy</td>
              <td>0.6409999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC445" class="js-file-line">
            <td id="L445" class="blob-num js-line-number" data-line-number="445"></td>
              <td>443</td>
              <td>2018-En-03263</td>
              <td>@Good_Therapy and @CounsellorsCaf are talking about #depression today! What&#39;s trending in your community?</td>
              <td>anger</td>
              <td>0.25</td>
              <td>0</td>
          </tr>
          <tr id="LC446" class="js-file-line">
            <td id="L446" class="blob-num js-line-number" data-line-number="446"></td>
              <td>444</td>
              <td>2018-En-02289</td>
              <td>This is the day that the lord has made I will rejoice and BE GLAD IN IT! 🙌🏿🌟 #blessed #favored #loved #</td>
              <td>joy</td>
              <td>0.813</td>
              <td>0</td>
          </tr>
          <tr id="LC447" class="js-file-line">
            <td id="L447" class="blob-num js-line-number" data-line-number="447"></td>
              <td>445</td>
              <td>2018-En-03445</td>
              <td>@TheSocialCTV was a guest at your show today .. Just wanted to say what an enjoyable experience from arriving to leaving #smiling</td>
              <td>joy</td>
              <td>0.703</td>
              <td>0</td>
          </tr>
          <tr id="LC448" class="js-file-line">
            <td id="L448" class="blob-num js-line-number" data-line-number="448"></td>
              <td>446</td>
              <td>2018-En-04362</td>
              <td>@Originalmalik2K @youFamousEnough @AnthonyMuraco Gg bro shouldn&#39;t have lost but it&#39;s cool</td>
              <td>fear</td>
              <td>0.271</td>
              <td>0</td>
          </tr>
          <tr id="LC449" class="js-file-line">
            <td id="L449" class="blob-num js-line-number" data-line-number="449"></td>
              <td>447</td>
              <td>2018-En-01457</td>
              <td>@nytimes @pattonoswalt I am so happy that you were able to expands your heart and find happiness again, congratulations! ❤️</td>
              <td>joy</td>
              <td>0.9059999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC450" class="js-file-line">
            <td id="L450" class="blob-num js-line-number" data-line-number="450"></td>
              <td>448</td>
              <td>2018-En-02944</td>
              <td>i do love shack shake</td>
              <td>sadness</td>
              <td>0.159</td>
              <td>0</td>
          </tr>
          <tr id="LC451" class="js-file-line">
            <td id="L451" class="blob-num js-line-number" data-line-number="451"></td>
              <td>449</td>
              <td>2018-En-02607</td>
              <td>@seanhannity Why are we still talking about the elections? It&#39;s like we&#39;re stuck in October 2016 but we still get older. </td>
              <td>fear</td>
              <td>0.36700000000000005</td>
              <td>0</td>
          </tr>
          <tr id="LC452" class="js-file-line">
            <td id="L452" class="blob-num js-line-number" data-line-number="452"></td>
              <td>450</td>
              <td>2018-En-01380</td>
              <td>@MGBarbieri @SpalkTalk And just saw your LinkedIn comment after I sent this! Thanks for the message 😀</td>
              <td>joy</td>
              <td>0.594</td>
              <td>0</td>
          </tr>
          <tr id="LC453" class="js-file-line">
            <td id="L453" class="blob-num js-line-number" data-line-number="453"></td>
              <td>451</td>
              <td>2018-En-00854</td>
              <td>Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict. William Ellery Channing</td>
              <td>fear</td>
              <td>0.267</td>
              <td>0</td>
          </tr>
          <tr id="LC454" class="js-file-line">
            <td id="L454" class="blob-num js-line-number" data-line-number="454"></td>
              <td>452</td>
              <td>2018-En-02270</td>
              <td>#fans #gamers what you think @EAMaddenNFL 18 is going to rate the #Dolphins #offense #defense special teams rating &amp;amp; rank out of 32 teams</td>
              <td>fear</td>
              <td>0.321</td>
              <td>0</td>
          </tr>
          <tr id="LC455" class="js-file-line">
            <td id="L455" class="blob-num js-line-number" data-line-number="455"></td>
              <td>453</td>
              <td>2018-En-01166</td>
              <td>no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country&#39;s-</td>
              <td>anger</td>
              <td>0.19699999999999998</td>
              <td>0</td>
          </tr>
          <tr id="LC456" class="js-file-line">
            <td id="L456" class="blob-num js-line-number" data-line-number="456"></td>
              <td>454</td>
              <td>2018-En-01166</td>
              <td>no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country&#39;s-</td>
              <td>sadness</td>
              <td>0.114</td>
              <td>0</td>
          </tr>
          <tr id="LC457" class="js-file-line">
            <td id="L457" class="blob-num js-line-number" data-line-number="457"></td>
              <td>455</td>
              <td>2018-En-02736</td>
              <td>@DonaldJTrumpJr This is the day you lot finally admitted it. May come back to haunt you</td>
              <td>fear</td>
              <td>0.375</td>
              <td>0</td>
          </tr>
          <tr id="LC458" class="js-file-line">
            <td id="L458" class="blob-num js-line-number" data-line-number="458"></td>
              <td>456</td>
              <td>2018-En-00713</td>
              <td>@SpnTentation Thank you! My first solo run!  #excited #andnervous</td>
              <td>sadness</td>
              <td>0.289</td>
              <td>0</td>
          </tr>
          <tr id="LC459" class="js-file-line">
            <td id="L459" class="blob-num js-line-number" data-line-number="459"></td>
              <td>457</td>
              <td>2018-En-00924</td>
              <td>@annarxbs @lolitsluan oh my lord I love you both with all of my heart. I feel so good and happy and you make it possible xx</td>
              <td>joy</td>
              <td>0.828</td>
              <td>0</td>
          </tr>
          <tr id="LC460" class="js-file-line">
            <td id="L460" class="blob-num js-line-number" data-line-number="460"></td>
              <td>458</td>
              <td>2018-En-01039</td>
              <td>@FairtradeUKNews @adamawine Wishing you a joyful day with great food, wine and company 👌</td>
              <td>joy</td>
              <td>0.7190000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC461" class="js-file-line">
            <td id="L461" class="blob-num js-line-number" data-line-number="461"></td>
              <td>459</td>
              <td>2018-En-03681</td>
              <td>Spending the majority of the day in bed relaxing &amp;amp; catching up on @Hollyoaks 💖  #relax</td>
              <td>joy</td>
              <td>0.594</td>
              <td>0</td>
          </tr>
          <tr id="LC462" class="js-file-line">
            <td id="L462" class="blob-num js-line-number" data-line-number="462"></td>
              <td>460</td>
              <td>2018-En-00294</td>
              <td>“We just have to hold on a bit longer, then we can sink this monster into the ocean.” #foodparty</td>
              <td>sadness</td>
              <td>0.26899999999999996</td>
              <td>0</td>
          </tr>
          <tr id="LC463" class="js-file-line">
            <td id="L463" class="blob-num js-line-number" data-line-number="463"></td>
              <td>461</td>
              <td>2018-En-01182</td>
              <td>Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews</td>
              <td>sadness</td>
              <td>0.82</td>
              <td>1</td>
          </tr>
          <tr id="LC464" class="js-file-line">
            <td id="L464" class="blob-num js-line-number" data-line-number="464"></td>
              <td>462</td>
              <td>2018-En-00302</td>
              <td>Just did Yasso 800s for the first time. Kinda fun (maybe because I only did 4).  😀 Thanks @BartYasso!</td>
              <td>joy</td>
              <td>0.563</td>
              <td>0</td>
          </tr>
          <tr id="LC465" class="js-file-line">
            <td id="L465" class="blob-num js-line-number" data-line-number="465"></td>
              <td>463</td>
              <td>2018-En-01691</td>
              <td>Welcome to our new follower @RahmanAccess Have a #wonderful Tuesday!</td>
              <td>joy</td>
              <td>0.551</td>
              <td>0</td>
          </tr>
          <tr id="LC466" class="js-file-line">
            <td id="L466" class="blob-num js-line-number" data-line-number="466"></td>
              <td>464</td>
              <td>2018-En-00817</td>
              <td>@Walu2go @ThisisLukeOwen Yes it is. I especially love the ramble chat love when they go off topic for like ten minutes. #awesomeness</td>
              <td>joy</td>
              <td>0.677</td>
              <td>0</td>
          </tr>
          <tr id="LC467" class="js-file-line">
            <td id="L467" class="blob-num js-line-number" data-line-number="467"></td>
              <td>465</td>
              <td>2018-En-03573</td>
              <td>@ChikagaiHeichou Carla took Eren over to a bench so he could sit down again, sensing his weariness she thought it would be best if he »</td>
              <td>sadness</td>
              <td>0.26899999999999996</td>
              <td>0</td>
          </tr>
          <tr id="LC468" class="js-file-line">
            <td id="L468" class="blob-num js-line-number" data-line-number="468"></td>
              <td>466</td>
              <td>2018-En-04333</td>
              <td>@CaxtonSupport I&#39;m sorry but I don&#39;t know what DM stands for. I know a PM 😂. But sadly not a DM. It won&#39;t create an account to find.</td>
              <td>sadness</td>
              <td>0.295</td>
              <td>0</td>
          </tr>
          <tr id="LC469" class="js-file-line">
            <td id="L469" class="blob-num js-line-number" data-line-number="469"></td>
              <td>467</td>
              <td>2018-En-04145</td>
              <td>Happy birthday to one of the many founders of this fabulous company #blessed #TuesdayMotivation #begreat</td>
              <td>joy</td>
              <td>0.667</td>
              <td>0</td>
          </tr>
          <tr id="LC470" class="js-file-line">
            <td id="L470" class="blob-num js-line-number" data-line-number="470"></td>
              <td>468</td>
              <td>2018-En-03519</td>
              <td>@wildpawspics @starbeeston Don&#39;t miss out today then 👍💻😋\n\nThey are soooo yummy 😆</td>
              <td>joy</td>
              <td>0.565</td>
              <td>0</td>
          </tr>
          <tr id="LC471" class="js-file-line">
            <td id="L471" class="blob-num js-line-number" data-line-number="471"></td>
              <td>469</td>
              <td>2018-En-03176</td>
              <td>Ot6 still exist? #julid #deletesoon </td>
              <td>fear</td>
              <td>0.387</td>
              <td>0</td>
          </tr>
          <tr id="LC472" class="js-file-line">
            <td id="L472" class="blob-num js-line-number" data-line-number="472"></td>
              <td>470</td>
              <td>2018-En-03100</td>
              <td>Working with alergies is the most miserable shit in the world #miserable #alergies</td>
              <td>sadness</td>
              <td>0.818</td>
              <td>1</td>
          </tr>
          <tr id="LC473" class="js-file-line">
            <td id="L473" class="blob-num js-line-number" data-line-number="473"></td>
              <td>471</td>
              <td>2018-En-03477</td>
              <td>@bitterbottom Such an amazing pic 😍</td>
              <td>joy</td>
              <td>0.8170000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC474" class="js-file-line">
            <td id="L474" class="blob-num js-line-number" data-line-number="474"></td>
              <td>472</td>
              <td>2018-En-03835</td>
              <td>@RegPCB I like a world where Love Island drarms is the worst thing I&#39;ve got to worry about.</td>
              <td>fear</td>
              <td>0.35</td>
              <td>0</td>
          </tr>
          <tr id="LC475" class="js-file-line">
            <td id="L475" class="blob-num js-line-number" data-line-number="475"></td>
              <td>473</td>
              <td>2018-En-03153</td>
              <td>@tarabrazil2 Guess who got a ghd now😃😃 no need to dread coming up and getting ready in mine with my boots straighter</td>
              <td>fear</td>
              <td>0.308</td>
              <td>0</td>
          </tr>
          <tr id="LC476" class="js-file-line">
            <td id="L476" class="blob-num js-line-number" data-line-number="476"></td>
              <td>474</td>
              <td>2018-En-00846</td>
              <td>@morninggloria You always look more #adorable 😉 after trip to Canada.</td>
              <td>joy</td>
              <td>0.677</td>
              <td>0</td>
          </tr>
          <tr id="LC477" class="js-file-line">
            <td id="L477" class="blob-num js-line-number" data-line-number="477"></td>
              <td>475</td>
              <td>2018-En-00746</td>
              <td>@bolarotibi @jamesatye @jacksonhull @danielmarion We&#39;re done! Interesting, informative and exhilarating 😄 #CollabAndComm</td>
              <td>joy</td>
              <td>0.688</td>
              <td>0</td>
          </tr>
          <tr id="LC478" class="js-file-line">
            <td id="L478" class="blob-num js-line-number" data-line-number="478"></td>
              <td>476</td>
              <td>2018-En-00923</td>
              <td>@iamsiroberts Go and see the hell hole which is Halton, now that&#39;ll depress you.</td>
              <td>sadness</td>
              <td>0.805</td>
              <td>1</td>
          </tr>
          <tr id="LC479" class="js-file-line">
            <td id="L479" class="blob-num js-line-number" data-line-number="479"></td>
              <td>477</td>
              <td>2018-En-00903</td>
              <td>we all think about it, some more than others \n\n#death #sad #depressed #suicide</td>
              <td>sadness</td>
              <td>0.877</td>
              <td>1</td>
          </tr>
          <tr id="LC480" class="js-file-line">
            <td id="L480" class="blob-num js-line-number" data-line-number="480"></td>
              <td>478</td>
              <td>2018-En-03961</td>
              <td>@KatSekhotho @Lemii_LoCo Can you falter Katli?</td>
              <td>fear</td>
              <td>0.345</td>
              <td>0</td>
          </tr>
          <tr id="LC481" class="js-file-line">
            <td id="L481" class="blob-num js-line-number" data-line-number="481"></td>
              <td>479</td>
              <td>2018-En-02606</td>
              <td>u can get an oreo shake at burger king</td>
              <td>fear</td>
              <td>0.196</td>
              <td>0</td>
          </tr>
          <tr id="LC482" class="js-file-line">
            <td id="L482" class="blob-num js-line-number" data-line-number="482"></td>
              <td>480</td>
              <td>2018-En-03156</td>
              <td>seeing sope perform otsukare always makes me happy no matter how much of a bad day I have</td>
              <td>fear</td>
              <td>0.172</td>
              <td>0</td>
          </tr>
          <tr id="LC483" class="js-file-line">
            <td id="L483" class="blob-num js-line-number" data-line-number="483"></td>
              <td>481</td>
              <td>2018-En-01166</td>
              <td>no offense to those who love k culture, u can love it all you want bbs!! 💖 but i just personally want to get to know my own country&#39;s-</td>
              <td>fear</td>
              <td>0.281</td>
              <td>0</td>
          </tr>
          <tr id="LC484" class="js-file-line">
            <td id="L484" class="blob-num js-line-number" data-line-number="484"></td>
              <td>482</td>
              <td>2018-En-01708</td>
              <td>Happy bday @Dineo_Jazzz . You legit the big sister I never had 😌 have an amazing day dude 🙏🏽</td>
              <td>joy</td>
              <td>0.7190000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC485" class="js-file-line">
            <td id="L485" class="blob-num js-line-number" data-line-number="485"></td>
              <td>483</td>
              <td>2018-En-02359</td>
              <td>And this, our life, exempt from public haunt, finds tongues in trees, books in the running brooks, sermons in stones, and good in everythin…</td>
              <td>fear</td>
              <td>0.38299999999999995</td>
              <td>0</td>
          </tr>
          <tr id="LC486" class="js-file-line">
            <td id="L486" class="blob-num js-line-number" data-line-number="486"></td>
              <td>484</td>
              <td>2018-En-00412</td>
              <td>deni &amp;amp; i on here be4: known as friendship goals by all our adorable mutuals 💘💗🙆🏻✨!⭐️™\nus now: tweets three times a day about depression</td>
              <td>sadness</td>
              <td>0.289</td>
              <td>0</td>
          </tr>
          <tr id="LC487" class="js-file-line">
            <td id="L487" class="blob-num js-line-number" data-line-number="487"></td>
              <td>485</td>
              <td>2018-En-01935</td>
              <td>@ChipotleTweets Never a good experience at 919 E Fort Ave location. I never learn because I love chipotle #terrible #badservice</td>
              <td>fear</td>
              <td>0.258</td>
              <td>0</td>
          </tr>
          <tr id="LC488" class="js-file-line">
            <td id="L488" class="blob-num js-line-number" data-line-number="488"></td>
              <td>486</td>
              <td>2018-En-00066</td>
              <td>@AmyAndrewsFOX2 Good morning Amy #smiles  😀 It&#39;s good to be a @Lions fan. ☕☀👚👠😎😘</td>
              <td>joy</td>
              <td>0.7190000000000001</td>
              <td>0</td>
          </tr>
          <tr id="LC489" class="js-file-line">
            <td id="L489" class="blob-num js-line-number" data-line-number="489"></td>
              <td>487</td>
              <td>2018-En-03433</td>
              <td>A little of # yoga for a #happy day!! #Noeishappy #yogagirl #yogaeverydamnday #namaste #grateful #blessed 🙋😊🙏</td>
              <td>joy</td>
              <td>0.71</td>
              <td>0</td>
          </tr>
          <tr id="LC490" class="js-file-line">
            <td id="L490" class="blob-num js-line-number" data-line-number="490"></td>
              <td>488</td>
              <td>2018-En-01026</td>
              <td>As you start and end your day, be thankful for every little thing in your life. You will come to realize how blessed you truly are.</td>
              <td>joy</td>
              <td>0.515</td>
              <td>0</td>
          </tr>
          <tr id="LC491" class="js-file-line">
            <td id="L491" class="blob-num js-line-number" data-line-number="491"></td>
              <td>489</td>
              <td>2018-En-02061</td>
              <td>fallen for the temptation that is @alwayssunny, brilliant show! #hilarious</td>
              <td>joy</td>
              <td>0.6409999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC492" class="js-file-line">
            <td id="L492" class="blob-num js-line-number" data-line-number="492"></td>
              <td>490</td>
              <td>2018-En-00525</td>
              <td>just watch a revenge movie or write it down in a journal and let it all out</td>
              <td>anger</td>
              <td>0.266</td>
              <td>0</td>
          </tr>
          <tr id="LC493" class="js-file-line">
            <td id="L493" class="blob-num js-line-number" data-line-number="493"></td>
              <td>491</td>
              <td>2018-En-00462</td>
              <td>Grind smarter.  #Hustle #Grind</td>
              <td>sadness</td>
              <td>0.20800000000000002</td>
              <td>0</td>
          </tr>
          <tr id="LC494" class="js-file-line">
            <td id="L494" class="blob-num js-line-number" data-line-number="494"></td>
              <td>492</td>
              <td>2018-En-00446</td>
              <td>omg they said kyungsoo looked gloomy and his instant smile after that i&#39;m melting</td>
              <td>sadness</td>
              <td>0.22899999999999998</td>
              <td>0</td>
          </tr>
          <tr id="LC495" class="js-file-line">
            <td id="L495" class="blob-num js-line-number" data-line-number="495"></td>
              <td>493</td>
              <td>2018-En-02750</td>
              <td>@ButUCanCallMeZ I always wondered your feelings on this and I&#39;m so glad to hear it. 😊</td>
              <td>joy</td>
              <td>0.672</td>
              <td>0</td>
          </tr>
          <tr id="LC496" class="js-file-line">
            <td id="L496" class="blob-num js-line-number" data-line-number="496"></td>
              <td>494</td>
              <td>2018-En-03074</td>
              <td>@dwarsrivier_SA Welcome to the industry fellow #guides! Expect a future of #excitement, #hairraising tales and just allround #fun! :D</td>
              <td>joy</td>
              <td>0.561</td>
              <td>0</td>
          </tr>
          <tr id="LC497" class="js-file-line">
            <td id="L497" class="blob-num js-line-number" data-line-number="497"></td>
              <td>495</td>
              <td>2018-En-02403</td>
              <td>@lidl_ireland What a wonderful experience in #Trim. What a star ⭐️#Joileta is.  She made my shopping a wonderful experience, helpful </td>
              <td>joy</td>
              <td>0.677</td>
              <td>0</td>
          </tr>
          <tr id="LC498" class="js-file-line">
            <td id="L498" class="blob-num js-line-number" data-line-number="498"></td>
              <td>496</td>
              <td>2018-En-01531</td>
              <td>@chrisdrunkpoets @MusicHourUK 💞🛸✨ Love your new music Chris!!!🌟🎯🍎It&#39;s otherworldly, like you!! #awesomeness 🦄🧜🏽‍♂️🧜🏽‍♀️🧙🏽‍♀️🧙🏽‍♂️✨🔆</td>
              <td>joy</td>
              <td>0.7659999999999999</td>
              <td>0</td>
          </tr>
          <tr id="LC499" class="js-file-line">
            <td id="L499" class="blob-num js-line-number" data-line-number="499"></td>
              <td>497</td>
              <td>2018-En-02638</td>
              <td>huddling before flames\ndon&#39;t let poetry scare you\nproduction is wild\n#haiku</td>
              <td>fear</td>
              <td>0.33299999999999996</td>
              <td>0</td>
          </tr>
          <tr id="LC500" class="js-file-line">
            <td id="L500" class="blob-num js-line-number" data-line-number="500"></td>
              <td>498</td>
              <td>2018-En-03980</td>
              <td>And all the bullshit in your live ends and nothing will bother you ever again #depression</td>
              <td>sadness</td>
              <td>0.825</td>
              <td>1</td>
          </tr>
          <tr id="LC501" class="js-file-line">
            <td id="L501" class="blob-num js-line-number" data-line-number="501"></td>
              <td>499</td>
              <td>2018-En-01656</td>
              <td>@Arquipimp 😂😂😂😂\nU mean overprice English clubs\nReal Madrid see bayern as no threat then look 😂</td>
              <td>fear</td>
              <td>0.259</td>
              <td>0</td>
          </tr>
          <tr id="LC502" class="js-file-line">
